Order_ID,Customer_ID,Order_Date,Region,Segment,Category,Sub_Category,Sales,Cost,Profit,Discount
82,CUST1694,07-03-2024,East,Home Office,Office Supplies,Paper,1913.78,968.72,945.06,0.28
83,CUST8061,13-11-2023,North,Consumer,Furniture,Bookcase,2198.1,1948.97,249.13,0.29
84,CUST5064,07-01-2023,South,Home Office,Furniture,Chair,4279.75,2643.94,1635.81,0.12
85,CUST3899,23-06-2024,West,Home Office,Office Supplies,Paper,4270.57,2676.66,1593.91,0.05
86,CUST6244,23-11-2023,South,Consumer,Furniture,Chair,2828.33,2473.27,355.06,0.21
87,CUST8640,12-09-2023,East,Corporate,Furniture,Chair,2893.3,1559.11,1334.19,0.18
88,CUST9476,25-09-2024,South,Consumer,Furniture,Chair,4951.26,2753.07,2198.19,0.16
89,CUST6239,15-11-2024,West,Home Office,Technology,Laptop,4399.13,3503.06,896.07,0.21
90,CUST5945,27-07-2024,South,Corporate,Office Supplies,Storage,3542.17,2280.44,1261.73,0.09
91,CUST5386,16-10-2024,West,Home Office,Office Supplies,Binder,4065.87,3350.46,715.41,0.26
92,CUST2594,07-02-2024,North,Corporate,Technology,Accessories,4574.88,3223.17,1351.71,0.15
93,CUST4337,26-04-2023,South,Consumer,Office Supplies,Binder,4011.65,3048.8,962.85,0.21
94,CUST1301,31-03-2023,East,Consumer,Furniture,Chair,3999.38,3423.48,575.9,0.1
95,CUST4263,03-12-2024,South,Corporate,Technology,Phone,1940.36,1043.12,897.24,0.17
96,CUST9849,22-11-2024,East,Consumer,Office Supplies,Storage,276.12,189.48,86.64,0.16
97,CUST6333,11-02-2023,West,Consumer,Office Supplies,Paper,1504.05,1107.48,396.57,0.01
98,CUST9414,14-09-2024,South,Home Office,Furniture,Chair,283.01,234.63,48.38,0.11
99,CUST6814,31-03-2023,South,Corporate,Furniture,Chair,722.6,512.25,210.35,0.23
100,CUST1300,08-04-2023,East,Home Office,Office Supplies,Binder,1157.52,867.16,290.36,0.03
101,CUST2686,06-11-2023,North,Home Office,Office Supplies,Storage,353.24,251.7,101.54,0.16
102,CUST2597,04-04-2023,North,Corporate,Office Supplies,Binder,3223.41,2547.9,675.51,0.29
103,CUST9588,12-02-2024,South,Consumer,Furniture,Table,2629.87,1654.67,975.2,0.24
104,CUST3385,08-04-2024,South,Consumer,Office Supplies,Binder,1427.08,964.12,462.96,0.02
105,CUST2039,02-07-2023,West,Corporate,Technology,Phone,224.22,198.45,25.77,0.25
106,CUST7094,11-04-2024,West,Consumer,Office Supplies,Storage,3510.27,2329.35,1180.92,0.05
107,CUST5419,18-10-2024,West,Home Office,Office Supplies,Binder,866.54,520.01,346.53,0.16
108,CUST8148,23-08-2023,North,Corporate,Furniture,Chair,3601.52,2751.85,849.67,0.08
109,CUST3154,08-01-2024,North,Consumer,Office Supplies,Paper,4778.84,3799.94,978.9,0.17
110,CUST5917,28-02-2024,East,Consumer,Technology,Laptop,3097.43,2068.59,1028.84,0.07
111,CUST1620,11-11-2024,North,Home Office,Furniture,Bookcase,1844.27,1481.2,363.07,0
112,CUST3682,07-11-2024,East,Corporate,Technology,Phone,668.76,346.69,322.07,0.01
113,CUST4383,30-07-2023,East,Consumer,Office Supplies,Storage,4291.76,3353.85,937.91,0.14
114,CUST2780,27-02-2024,East,Corporate,Office Supplies,Storage,579.39,403.63,175.76,0.14
115,CUST3727,05-07-2023,East,Home Office,Technology,Phone,948.69,638.98,309.71,0.12
116,CUST9738,25-10-2023,South,Corporate,Technology,Accessories,3117.67,2350.84,766.83,0.01
117,CUST4702,20-03-2024,East,Consumer,Furniture,Table,1935.6,1452.37,483.23,0.15
118,CUST5380,04-07-2024,East,Home Office,Office Supplies,Storage,4296.8,3280.51,1016.29,0.05
119,CUST1750,26-06-2024,East,Home Office,Technology,Phone,445.79,337.45,108.34,0.01
120,CUST6832,27-02-2024,East,Corporate,Office Supplies,Paper,2970.3,2602.26,368.04,0.17
121,CUST2050,25-11-2024,West,Consumer,Office Supplies,Storage,2002.03,1516.17,485.86,0.14
122,CUST7675,05-07-2024,East,Corporate,Office Supplies,Paper,2773.52,2431.23,342.29,0.12
123,CUST9224,13-01-2024,North,Corporate,Technology,Accessories,4809.83,4146.75,663.08,0.06
124,CUST2552,12-03-2024,North,Consumer,Office Supplies,Paper,439.87,237.67,202.2,0.01
125,CUST4945,09-12-2023,East,Consumer,Office Supplies,Binder,562.77,435.14,127.63,0.02
126,CUST1713,04-08-2023,East,Corporate,Technology,Accessories,1662.98,1393.49,269.49,0.01
127,CUST1983,29-04-2023,South,Consumer,Furniture,Table,4090.9,2506.67,1584.23,0.04
128,CUST7004,03-07-2024,West,Corporate,Technology,Accessories,3514.01,2641.05,872.96,0.26
129,CUST2350,23-04-2024,South,Consumer,Furniture,Bookcase,3701.85,3040.67,661.18,0.08
130,CUST3180,29-12-2023,West,Home Office,Furniture,Chair,969.45,775.8,193.65,0.24
131,CUST9195,03-05-2023,North,Consumer,Technology,Accessories,4953.48,3294.3,1659.18,0.11
132,CUST6450,29-03-2024,North,Consumer,Furniture,Bookcase,3904.42,2484.47,1419.95,0.28
133,CUST5336,05-05-2024,North,Home Office,Furniture,Chair,4306.22,2892.05,1414.17,0.23
134,CUST3536,16-11-2023,South,Consumer,Furniture,Bookcase,3797.26,2055.27,1741.99,0.27
135,CUST3594,22-05-2023,South,Consumer,Technology,Accessories,2575.74,2139.37,436.37,0.1
136,CUST8209,05-04-2023,West,Home Office,Office Supplies,Binder,4488.06,2942.73,1545.33,0
137,CUST6916,01-01-2024,West,Consumer,Office Supplies,Paper,4536.37,2433.83,2102.54,0.1
138,CUST4603,05-11-2024,North,Consumer,Technology,Accessories,4755.3,4185.82,569.48,0.17
139,CUST7592,27-09-2023,East,Consumer,Office Supplies,Binder,3196,2171.29,1024.71,0.09
140,CUST2265,03-04-2023,West,Corporate,Technology,Laptop,1710.46,1315.36,395.1,0.23
141,CUST9981,23-08-2024,North,Home Office,Technology,Accessories,3978.74,3246.04,732.7,0.03
142,CUST7020,10-01-2024,West,Corporate,Technology,Laptop,2522.66,1319.41,1203.25,0.16
143,CUST4921,24-01-2023,North,Consumer,Technology,Accessories,2263.5,1935.48,328.02,0.11
144,CUST3789,22-05-2024,North,Consumer,Office Supplies,Binder,673.63,375.34,298.29,0.23
145,CUST8950,30-06-2024,West,Corporate,Technology,Accessories,3129.27,1691.21,1438.06,0.03
146,CUST3637,15-07-2023,South,Consumer,Office Supplies,Paper,3534.75,1870.25,1664.5,0.25
147,CUST2460,17-01-2024,South,Home Office,Office Supplies,Binder,3560.59,1896.15,1664.44,0.03
148,CUST4629,23-07-2024,South,Consumer,Furniture,Table,4934.53,3206.01,1728.52,0.11
149,CUST3998,11-01-2023,North,Home Office,Furniture,Chair,4082.72,3588.3,494.42,0.3
150,CUST4632,21-02-2023,East,Corporate,Office Supplies,Storage,3791.55,2466.42,1325.13,0.03
151,CUST2998,23-10-2023,East,Home Office,Technology,Phone,3908.02,2826.91,1081.11,0.13
152,CUST4126,19-01-2024,North,Corporate,Technology,Accessories,4541.14,2472.56,2068.58,0.15
153,CUST1760,17-10-2023,South,Home Office,Furniture,Bookcase,155.63,106.99,48.64,0.02
154,CUST1378,13-04-2023,East,Consumer,Technology,Phone,682.21,373.18,309.03,0.19
155,CUST1311,12-04-2023,East,Consumer,Office Supplies,Paper,3755.62,2754.17,1001.45,0.29
156,CUST2867,21-05-2023,East,Home Office,Office Supplies,Binder,1936.87,1189.79,747.08,0.26
157,CUST8911,20-08-2024,South,Home Office,Office Supplies,Binder,1195.62,1058.47,137.15,0
158,CUST4270,30-07-2024,South,Consumer,Technology,Laptop,4852.41,2509.98,2342.43,0.27
159,CUST1380,29-10-2024,West,Home Office,Furniture,Bookcase,2685.74,2409.61,276.13,0.02
160,CUST2823,23-02-2024,East,Consumer,Office Supplies,Paper,2813.89,2497.95,315.94,0.16
161,CUST5443,17-01-2023,East,Corporate,Technology,Phone,3184.05,2478.14,705.91,0.14
162,CUST1496,26-11-2024,East,Corporate,Technology,Accessories,3175.03,2329.6,845.43,0.27
163,CUST1196,29-06-2024,North,Corporate,Furniture,Chair,322.69,197.61,125.08,0.29
164,CUST1260,18-06-2023,North,Corporate,Office Supplies,Binder,4462.29,3044.45,1417.84,0.19
165,CUST3385,31-10-2023,North,Consumer,Technology,Laptop,1459.17,839.39,619.78,0.14
166,CUST6087,10-03-2024,East,Consumer,Furniture,Table,1831.43,1343.29,488.14,0.02
167,CUST4982,26-11-2023,West,Corporate,Technology,Phone,4874.53,4360.19,514.34,0.21
168,CUST8802,19-10-2024,North,Home Office,Technology,Phone,2726.87,1701.05,1025.82,0.24
169,CUST7655,19-06-2023,East,Home Office,Office Supplies,Storage,3455.18,1952.34,1502.84,0.27
170,CUST7148,19-10-2024,West,Corporate,Furniture,Bookcase,4130.43,3634.45,495.98,0.22
171,CUST3454,17-11-2024,West,Corporate,Office Supplies,Storage,3105.73,2072.44,1033.29,0.28
172,CUST6080,06-06-2024,North,Home Office,Furniture,Bookcase,4343.71,2250.42,2093.29,0.01
173,CUST8600,01-10-2024,West,Corporate,Office Supplies,Binder,1944.67,1602.84,341.83,0.3
174,CUST9460,26-07-2024,West,Corporate,Office Supplies,Paper,837.04,617.44,219.6,0.11
175,CUST5636,15-02-2023,West,Consumer,Office Supplies,Binder,4852.58,4060.87,791.71,0.25
176,CUST7747,16-01-2024,East,Home Office,Furniture,Bookcase,2396.6,1595.96,800.64,0.08
177,CUST3027,03-07-2024,East,Consumer,Technology,Laptop,376.24,318.26,57.98,0.24
178,CUST5092,01-05-2023,West,Consumer,Furniture,Table,4998.62,4492.03,506.59,0.17
179,CUST6052,11-04-2023,West,Consumer,Technology,Laptop,3868.04,3395.78,472.26,0.25
180,CUST3664,11-01-2023,North,Corporate,Technology,Laptop,1312.01,892.45,419.56,0.04
181,CUST5138,02-09-2023,South,Home Office,Technology,Laptop,4774.85,3545.18,1229.67,0.07
182,CUST8562,29-04-2023,North,Consumer,Office Supplies,Paper,3391.33,2534.18,857.15,0.11
183,CUST9520,08-11-2023,South,Home Office,Office Supplies,Storage,656.43,504.55,151.88,0.16
184,CUST8008,24-11-2023,West,Home Office,Furniture,Bookcase,3884.36,2750.38,1133.98,0.26
185,CUST8849,12-09-2023,South,Home Office,Furniture,Table,2804.34,2031.39,772.95,0.26
186,CUST2790,01-11-2024,South,Corporate,Office Supplies,Storage,2077.07,1149.88,927.19,0.01
187,CUST8031,20-03-2024,North,Corporate,Furniture,Bookcase,3800.17,2843,957.17,0.21
188,CUST4251,14-03-2023,West,Consumer,Office Supplies,Binder,1143.52,634.14,509.38,0
189,CUST5093,04-04-2023,East,Consumer,Technology,Laptop,1817.88,1337.9,479.98,0.12
190,CUST9455,06-04-2024,North,Corporate,Furniture,Bookcase,2243.63,1933.25,310.38,0.1
191,CUST5881,10-06-2023,South,Consumer,Furniture,Bookcase,2618.55,2130.09,488.46,0.12
192,CUST9123,03-03-2024,East,Corporate,Office Supplies,Storage,3148.22,2660.07,488.15,0.28
193,CUST3641,21-01-2023,North,Corporate,Furniture,Table,820.66,714.5,106.16,0.15
194,CUST6659,05-09-2024,West,Corporate,Technology,Accessories,1365.4,933.46,431.94,0.29
195,CUST3911,19-11-2023,South,Corporate,Technology,Phone,2513.83,1587.49,926.34,0.19
196,CUST8723,29-06-2023,East,Consumer,Technology,Laptop,1276.71,677.1,599.61,0.04
197,CUST3955,22-04-2023,North,Home Office,Technology,Laptop,727.42,407.91,319.51,0.04
198,CUST8355,04-01-2023,South,Consumer,Furniture,Chair,3240.29,1855.88,1384.41,0.1
199,CUST7525,12-12-2024,North,Consumer,Technology,Accessories,4494.26,3099.17,1395.09,0.2
200,CUST2204,12-07-2023,South,Home Office,Office Supplies,Paper,944.37,544.82,399.55,0.01
201,CUST5946,04-06-2024,East,Home Office,Furniture,Chair,927.78,567.28,360.5,0.05
202,CUST8674,16-06-2024,South,Home Office,Office Supplies,Binder,534.64,293.12,241.52,0.14
203,CUST3310,04-02-2023,North,Consumer,Technology,Laptop,1111.04,717.41,393.63,0.15
204,CUST5152,21-10-2023,East,Consumer,Office Supplies,Storage,3482.93,1796.23,1686.7,0.24
205,CUST5016,02-09-2023,West,Consumer,Furniture,Table,3176.71,1692.24,1484.47,0.26
206,CUST8494,12-08-2024,West,Home Office,Technology,Phone,4612.27,2418.82,2193.45,0.08
207,CUST1894,06-10-2023,North,Corporate,Technology,Accessories,4050.39,3237.49,812.9,0.06
208,CUST8155,09-05-2024,East,Consumer,Furniture,Chair,1125.81,729.74,396.07,0.15
209,CUST7823,17-04-2024,South,Consumer,Furniture,Chair,3129.45,2026.52,1102.93,0.14
210,CUST1069,23-08-2023,West,Corporate,Furniture,Chair,3762.61,1936.51,1826.1,0.08
211,CUST4951,01-11-2023,East,Corporate,Office Supplies,Binder,3595.41,3085.16,510.25,0.15
212,CUST4021,25-12-2024,South,Consumer,Technology,Phone,2707.36,1469.74,1237.62,0.13
213,CUST6603,17-02-2024,North,Consumer,Office Supplies,Storage,2709.82,1617.73,1092.09,0.08
214,CUST4430,06-03-2023,South,Corporate,Office Supplies,Storage,1948.69,989.99,958.7,0.1
215,CUST9349,03-02-2024,East,Corporate,Office Supplies,Storage,1136.1,716.88,419.22,0.04
216,CUST9657,15-12-2023,West,Home Office,Furniture,Table,4463.58,3291.61,1171.97,0.2
217,CUST6414,18-01-2023,West,Consumer,Technology,Laptop,3966.94,2774.39,1192.55,0.03
218,CUST6123,17-08-2024,South,Home Office,Furniture,Bookcase,2731.82,2007.17,724.65,0.22
219,CUST8268,11-10-2023,South,Corporate,Office Supplies,Storage,2215.13,1220.61,994.52,0.09
220,CUST1371,02-08-2023,East,Home Office,Furniture,Table,1879.1,1425.05,454.05,0.17
221,CUST9734,13-04-2023,North,Corporate,Furniture,Bookcase,1844.87,1650.43,194.44,0.18
222,CUST8597,11-09-2024,East,Home Office,Furniture,Chair,1262.41,682.6,579.81,0.05
223,CUST4148,26-01-2024,South,Corporate,Office Supplies,Storage,1305.19,736.48,568.71,0.06
224,CUST8061,03-01-2024,North,Consumer,Technology,Phone,1496.97,852.3,644.67,0.27
225,CUST5638,27-02-2023,North,Consumer,Technology,Phone,493.15,350.04,143.11,0.12
226,CUST4145,24-06-2024,North,Home Office,Office Supplies,Paper,4913.66,2677.04,2236.62,0.12
227,CUST2757,18-12-2023,West,Consumer,Furniture,Table,4850.41,4104.43,745.98,0.25
228,CUST4957,13-06-2023,North,Consumer,Office Supplies,Storage,1363.72,775.08,588.64,0.2
229,CUST3797,12-12-2023,North,Corporate,Office Supplies,Binder,4653.94,3363.43,1290.51,0.17
230,CUST3275,08-11-2024,North,Corporate,Office Supplies,Storage,1471.9,1189,282.9,0.06
231,CUST6086,06-12-2023,South,Home Office,Office Supplies,Storage,1686.03,1129.93,556.1,0.15
232,CUST1472,14-05-2023,North,Consumer,Office Supplies,Storage,1287.81,703.06,584.75,0.18
233,CUST8328,15-09-2024,West,Consumer,Furniture,Bookcase,1514.29,1109.21,405.08,0.05
234,CUST7109,23-06-2023,North,Corporate,Technology,Accessories,2457.59,1752.35,705.24,0.02
235,CUST3995,05-11-2023,East,Home Office,Office Supplies,Storage,1749.36,968.74,780.62,0.02
236,CUST3634,29-11-2024,East,Corporate,Office Supplies,Storage,4950.81,3113.77,1837.04,0.24
237,CUST5781,30-12-2023,West,Consumer,Furniture,Table,1347.74,1041.27,306.47,0.23
238,CUST9142,28-07-2023,East,Corporate,Office Supplies,Binder,3018.63,2078.72,939.91,0.12
239,CUST4457,06-02-2024,West,Consumer,Furniture,Bookcase,1809.45,1577.5,231.95,0.25
240,CUST7969,12-08-2024,East,Corporate,Furniture,Table,4828.63,2654.39,2174.24,0.22
241,CUST8909,24-06-2023,South,Consumer,Office Supplies,Binder,4697.87,2689.5,2008.37,0.02
242,CUST8098,23-07-2024,South,Consumer,Office Supplies,Storage,3731.49,2723.2,1008.29,0.25
243,CUST3136,23-02-2023,West,Consumer,Furniture,Bookcase,784.88,642.12,142.76,0.06
244,CUST7959,02-05-2024,East,Corporate,Furniture,Chair,901.91,510.22,391.69,0.24
245,CUST7938,26-01-2024,East,Consumer,Furniture,Chair,3359.47,2382.62,976.85,0.11
246,CUST6265,28-03-2023,North,Consumer,Technology,Phone,4398.28,2889.57,1508.71,0.24
247,CUST1562,20-03-2023,South,Home Office,Technology,Laptop,2251.76,1465.4,786.36,0.14
248,CUST5897,01-03-2023,East,Corporate,Furniture,Table,1576.75,1259.89,316.86,0.15
249,CUST3206,17-11-2023,East,Corporate,Furniture,Chair,1237.84,1064.33,173.51,0.12
250,CUST5230,20-02-2023,West,Consumer,Furniture,Table,2763.41,2383.69,379.72,0.19
251,CUST7755,03-01-2023,North,Home Office,Office Supplies,Paper,672.8,589.33,83.47,0.19
252,CUST4546,08-03-2024,West,Corporate,Furniture,Chair,1741.04,967.51,773.53,0.24
253,CUST3755,11-09-2023,North,Home Office,Office Supplies,Paper,3138.36,2238.86,899.5,0.27
254,CUST2284,25-02-2024,North,Consumer,Technology,Accessories,3964.13,2222.57,1741.56,0.09
255,CUST7769,17-04-2023,West,Home Office,Office Supplies,Storage,1317.6,1050.89,266.71,0.01
256,CUST6011,12-11-2024,South,Home Office,Furniture,Table,2892.46,2328.38,564.08,0.26
257,CUST1280,10-04-2023,East,Home Office,Office Supplies,Binder,1776.2,1471.59,304.61,0.03
258,CUST9611,31-05-2023,South,Home Office,Furniture,Table,4247.62,2340.42,1907.2,0.12
259,CUST8025,16-07-2023,East,Corporate,Furniture,Chair,4006.75,2243.65,1763.1,0.07
260,CUST7124,30-03-2024,North,Corporate,Technology,Accessories,3639.04,2867.62,771.42,0.19
261,CUST8691,08-02-2023,East,Corporate,Technology,Phone,3500.35,2510.07,990.28,0.08
262,CUST4991,18-05-2023,West,Consumer,Furniture,Table,1793.91,1027.26,766.65,0.27
263,CUST6882,23-07-2023,East,Corporate,Technology,Accessories,2958.62,1953.7,1004.92,0.14
264,CUST7349,06-02-2024,North,Consumer,Office Supplies,Binder,4741.69,2661.7,2079.99,0.18
265,CUST5021,03-12-2024,North,Home Office,Office Supplies,Storage,2578.85,1920.16,658.69,0.01
266,CUST5056,16-12-2023,East,Consumer,Office Supplies,Binder,4373.41,3817.32,556.09,0.17
267,CUST2391,09-04-2024,East,Consumer,Furniture,Chair,3513.59,3053.31,460.28,0.21
268,CUST4324,19-02-2023,North,Corporate,Office Supplies,Binder,847.44,619.07,228.37,0.18
269,CUST3958,02-09-2024,South,Corporate,Furniture,Table,2178.24,1730.78,447.46,0.28
270,CUST6974,11-11-2024,South,Home Office,Technology,Laptop,4635.29,3153.55,1481.74,0.03
271,CUST6423,02-10-2024,East,Home Office,Furniture,Table,4925.72,4115.73,809.99,0.04
272,CUST8825,31-12-2023,West,Consumer,Office Supplies,Binder,4612.13,3910.9,701.23,0.16
273,CUST6419,24-11-2023,East,Consumer,Furniture,Bookcase,2997.25,1976.99,1020.26,0.02
274,CUST8383,18-07-2024,West,Consumer,Technology,Phone,1742.47,1430.81,311.66,0
275,CUST2004,24-10-2023,East,Home Office,Furniture,Bookcase,1734.15,1143.27,590.88,0.16
276,CUST8343,29-03-2024,North,Corporate,Furniture,Bookcase,4607.29,2941.93,1665.36,0.1
277,CUST2772,21-06-2023,West,Corporate,Furniture,Bookcase,3713.76,2528.65,1185.11,0.07
278,CUST4932,24-11-2023,West,Consumer,Furniture,Chair,2316.95,1289.02,1027.93,0.05
279,CUST3407,01-03-2024,West,Home Office,Office Supplies,Storage,2542,1696.96,845.04,0.27
280,CUST4430,12-05-2024,West,Consumer,Furniture,Table,1875.73,1373.48,502.25,0.19
